DATA;PRECIPITACAO_TOTAL;PRESSAO_ATMOSFERICA;TEMPERATURA_PONTO_ORVALHO;TEMPERATURA_MAXIMA;TEMPERATURA_MEDIA;TEMPERATURA_MINIMA;UMIDADE_RELATIVA;UMIDADE_RELATIVA;VENTO;VELOCIDADE_VENTO;
2018-02-23;23.4;918.066667;18.829167;31.2;23.2625;18.1;79.5;41;9.6;1.445833;
2018-02-24;4.6;918.5625;19.5375;28.1;22.508333;19.1;84.041667;57;9.9;1.533333;
2018-02-25;6;919.016667;19.325;28.5;22.866667;20.1;81.75;55;8.2;2.658333;
2018-02-26;17.4;919.754167;18.108333;29.1;22.666667;18.1;78.083333;42;7.7;1.9125;
2018-02-27;0;920.083333;17.358333;28.6;22.0875;18.1;77.166667;38;5.8;1.670833;
2018-02-28;0;918.9;17.095833;30.5;22.920833;16.4;72.666667;38;7.3;1.866667;
2018-03-01;0;920.154167;17.770833;31.3;23.079167;16.5;74.458333;39;6;1.75;
2018-03-02;0;920.354167;15.2625;30.9;23.025;16.6;65.083333;31;6.3;1.575;
2018-03-03;0;918.366667;15.129167;32.1;22.854167;14.8;65.541667;34;6.3;1.308333;
2018-03-04;0;916.508333;17.65;32.3;23.954167;17.3;71;37;6.8;1.670833;
